ключ_клиента,тип,текущий_оборот,ожидаемый_диапазон,отклонение_%,приоритет
97551114,высокие расходы,85013.83333333333,"[1394, 40402]",189.5326184384057,высокий
100338806,высокие расходы,80617.0,"[1458, 42756]",62.80809303614513,высокий
100338806,высокие расходы,118107.0,"[1458, 42756]",138.51916758432395,высокий
100338806,высокие расходы,55376.42857142857,"[1458, 42756]",11.83474587511008,средний
102456810,высокие расходы,125809.33333333333,"[7581, 113613]",67.9560964825916,высокий
102682215,высокие расходы,415717.3333333333,"[14781, 339581]",99.73453230390412,высокий
103474761,высокие расходы,275887.63636363635,"[4669, 221549]",35.3843716309395,высокий
103474761,высокие расходы,428388.4,"[4669, 221549]",110.21971218818764,высокий
104565240,низкие расходы,4851.0,"[4908, 69005]",79.8713959759386,высокий
105092746,высокие расходы,82821.33333333333,"[1114, 39952]",209.6807860239092,высокий
105945780,высокие расходы,311471.0,"[7726, 202197]",152.61029838011478,высокий
106593850,высокие расходы,75758.14285714286,"[3023, 64175]",75.03687700663124,высокий
107653300,высокие расходы,21614.0,"[786, 19236]",100.89582543915468,высокий
107819508,высокие расходы,60551.4,"[3286, 51610]",94.1190523646977,высокий
107840946,высокие расходы,67237.2,"[2920, 50886]",101.52860095594124,высокий
107849612,высокие расходы,111188.8,"[1930, 104838]",108.80486597131143,высокий
107863383,высокие расходы,40066.88888888889,"[1694, 37282]",88.51024194823032,высокий
108153561,высокие расходы,77210.5,"[5151, 76092]",64.78242142861302,высокий
108290736,высокие расходы,177740.375,"[2499, 62421]",261.69197759883156,высокий
108342451,высокие расходы,103765.71428571429,"[5232, 97776]",34.336659379452314,высокий
108342451,высокие расходы,100191.66666666667,"[5232, 97776]",29.709687995507846,средний
108771470,высокие расходы,201386.22222222222,"[6617, 174140]",118.96785434175663,высокий
108817188,высокие расходы,47100.9,"[3555, 40918]",99.92134463964261,высокий
108896755,высокие расходы,5100.0,"[1816, 4263]",69.13129973474801,высокий
109120239,высокие расходы,125960.25,"[2834, 116328]",157.46405329755524,высокий
109332810,высокие расходы,100280.2,"[3450, 93687]",111.9559089475019,высокий
109400634,высокие расходы,80299.3,"[4154, 71715]",60.99583112168925,высокий
109400634,высокие расходы,75720.4,"[4154, 71715]",51.815494172473564,высокий
109779761,высокие расходы,122937.875,"[3804, 85256]",127.86332049316727,высокий
109827334,высокие расходы,67046.4,"[416, 40682]",224.2261298281838,высокий
110086370,высокие расходы,145785.11111111112,"[1111, 94471]",37.99553676824491,высокий
110086370,высокие расходы,115255.875,"[1111, 94471]",9.097733732217712,средний
110086370,высокие расходы,140548.0,"[1111, 94471]",33.03828841732406,высокий
110086370,высокие расходы,122011.3,"[1111, 94471]",15.492159729781562,средний
110207834,высокие расходы,130561.5,"[2429, 127087]",124.87828178542746,высокий
110674909,высокие расходы,19291.5,"[2222, 15555]",87.54982209865261,высокий
110825493,высокие расходы,97419.71428571429,"[1050, 30357]",275.32452127273604,высокий
111469451,высокие расходы,82457.1,"[4900, 76951]",93.22206605296422,высокий
111698706,высокие расходы,110041.75,"[5229, 80315]",70.02433493597027,высокий
111698706,высокие расходы,133685.2,"[5229, 80315]",106.55524553064251,высокий
111905915,высокие расходы,6495.0,"[403, 3939]",222.62229947852,высокий
112309205,высокие расходы,122812.27272727272,"[3995, 88094]",90.16471050376285,высокий
112309205,высокие расходы,123737.5,"[3995, 88094]",91.59733722692725,высокий
112382465,высокие расходы,95605.25,"[2286, 56882]",143.4902171557408,высокий
112759906,высокие расходы,79303.25,"[4288, 58336]",108.89969198763538,высокий
112968530,высокие расходы,115989.0,"[3189, 75271]",238.627273523487,высокий
112979067,высокие расходы,134865.6,"[6508, 110953]",93.95427669260773,высокий
113006362,высокие расходы,105356.71428571429,"[6002, 98130]",58.30163354615326,высокий
113007032,высокие расходы,64759.57142857143,"[4104, 58880]",88.64268148886156,высокий
113025706,высокие расходы,75001.25,"[5182, 50853]",116.06191386138222,высокий
113025706,высокие расходы,51169.0,"[5182, 50853]",47.40741954123948,высокий
113599136,высокие расходы,90681.16666666667,"[2312, 67233]",146.37030544124107,высокий
113635265,высокие расходы,125022.55555555556,"[2414, 87236]",141.90601380216896,высокий
113767967,высокие расходы,575950.875,"[11258, 89777]",377.4211096201968,высокий
114038436,высокие расходы,64261.375,"[974, 62362]",103.83717330944526,высокий
114158899,высокие расходы,74854.33333333333,"[2492, 53944]",100.63243840373681,высокий
114456580,высокие расходы,172197.0,"[4836, 119350]",137.2222761288344,высокий
114569331,высокие расходы,65942.14285714286,"[1470, 56704]",60.52205400334135,высокий
114665144,высокие расходы,114564.0,"[2258, 92698]",99.85322653634124,высокий
114725291,высокие расходы,115040.5,"[1094, 48190]",162.45874420137395,высокий
114817929,высокие расходы,52136.444444444445,"[2611, 46173]",69.65964085755971,высокий
114827383,высокие расходы,73179.875,"[7003, 71698]",54.00433679586602,высокий
114827383,высокие расходы,76864.8,"[7003, 71698]",61.75901902353147,высокий
114850245,высокие расходы,69998.0,"[2429, 37245]",187.1104415466938,высокий
114869201,высокие расходы,99385.0,"[34658, 83648]",69.6827248669721,высокий
114869201,низкие расходы,29400.0,"[34658, 83648]",49.803374783029334,высокий
115015461,высокие расходы,141470.5,"[2000, 51566]",218.33957530233585,высокий
115026984,высокие расходы,93242.2,"[3963, 71482]",52.47526695337923,высокий
115026984,высокие расходы,116148.4,"[3963, 71482]",89.9324644743512,высокий
115316458,высокие расходы,45953.555555555555,"[1928, 33388]",112.79824840816468,высокий
115330932,высокие расходы,113424.28571428571,"[4170, 71640]",126.29983490353057,высокий
115424023,высокие расходы,121700.5,"[2902, 102228]",32.06290126623063,высокий
115433916,высокие расходы,78494.0,"[3777, 54736]",133.4112100490699,высокий
115444578,высокие расходы,106342.5,"[2885, 74183]",109.6365710261512,высокий
115528290,высокие расходы,56253.75,"[2131, 56146]",56.16955254799326,высокий
115528290,высокие расходы,64595.833333333336,"[2131, 56146]",79.32811998424955,высокий
115528568,высокие расходы,103699.0,"[2719, 92831]",157.1998518160992,высокий
115657652,высокие расходы,86228.25,"[1906, 27890]",289.45326370675855,высокий
115657718,высокие расходы,64913.666666666664,"[2602, 27542]",178.89792635707119,высокий
115712111,высокие расходы,52926.6,"[2140, 33487]",26.05308724770457,средний
115712111,высокие расходы,48438.142857142855,"[2140, 33487]",15.363317074181603,средний
115712111,высокие расходы,60443.5,"[2140, 33487]",43.955437846112034,высокий
115712111,высокие расходы,34049.0,"[2140, 33487]",18.906059961450342,средний
115712111,высокие расходы,37620.88888888889,"[2140, 33487]",10.399201125035734,средний
115757762,высокие расходы,137188.66666666666,"[10724, 102584]",78.44987662243267,высокий
115933348,высокие расходы,80337.36363636363,"[2272, 79401]",91.95723186407112,высокий
115946903,высокие расходы,81743.18181818182,"[4500, 69007]",105.67097556872757,высокий
115957308,высокие расходы,159381.44444444444,"[2483, 157437]",71.40670007533195,высокий
116002866,высокие расходы,967967.3,"[7438, 127372]",361.1123899204052,высокий
116022061,высокие расходы,59861.22222222222,"[2867, 47146]",69.2611516930485,высокий
116136304,низкие расходы,4804.5,"[5421, 93454]",87.20921777935315,высокий
116152844,высокие расходы,80993.0,"[8577, 70266]",80.67611459914752,высокий
116216016,высокие расходы,125476.0,"[10027, 87870]",103.45014501869518,высокий
116222005,высокие расходы,238510.0,"[14561, 152726]",158.4152029974654,высокий
116267413,высокие расходы,6090.0,"[299, 2653]",201.22494008445238,высокий
116269080,высокие расходы,29954.833333333332,"[1642, 26565]",98.92429015715402,высокий
116304530,высокие расходы,487183.3333333333,"[7242, 123541]",242.43600140056927,высокий
116304530,высокие расходы,146767.3,"[7242, 123541]",3.161670738644112,средний
116624476,высокие расходы,171364.5,"[3951, 149293]",186.78159731451126,высокий
116654934,высокие расходы,78031.375,"[3262, 59384]",109.11214934103953,высокий
116805909,высокие расходы,57713.5,"[1707, 47842]",88.39816685533617,высокий
116834596,высокие расходы,95834.33333333333,"[3196, 73358]",103.74777153118377,высокий
117001651,высокие расходы,122369.57142857143,"[8169, 55483]",133.86453297555136,высокий
117001651,высокие расходы,65521.28571428572,"[8169, 55483]",25.220782817104126,средний
117014816,высокие расходы,143482.5,"[556, 85639]",151.51635077991844,высокий
117190935,высокие расходы,107483.0,"[4665, 92251]",46.70584409535387,высокий
117190935,высокие расходы,98411.0,"[4665, 92251]",34.32339258970605,высокий
117279539,высокие расходы,119882.55555555556,"[4562, 110172]",80.4909472367192,высокий
117399237,высокие расходы,65711.28571428571,"[1369, 59052]",111.3954824329603,высокий
117484870,высокие расходы,63756.75,"[1493, 47395]",92.18889279639426,высокий
117560306,высокие расходы,308597.875,"[5760, 241888]",121.50156611995409,высокий
117936326,высокие расходы,55165.625,"[4777, 54459]",69.899700217791,высокий
118311829,высокие расходы,129622.08333333333,"[4207, 122648]",85.46055944936414,высокий
118410340,высокие расходы,109403.0,"[4650, 27032]",389.2406761470352,высокий
118410340,низкие расходы,1197.0,"[4650, 27032]",94.64269743314551,высокий
